time,flux,flux_err
1559.2254303891023,,
1559.245864490622,21582.836,5.286639
1559.2662986923751,21584.156,5.2909455
1559.2867329943547,21584.492,5.292892
1559.3071670965728,21570.004,5.292309
1559.327601299141,21570.477,5.3011255
1559.3480356019354,21565.28,5.2934113
1559.3684697049684,21571.982,5.2977614
1559.3889040083523,21574.12,5.3004637
1559.4093382119609,21575.77,5.3012657
1559.4297724158096,21568.771,5.302556
1559.450206619891,21575.21,5.3073764
1559.4706408243146,21576.822,5.308506
1559.4910750289782,21577.527,5.3103337
1559.511509233991,21583.086,5.3119264
1559.5319434392295,21582.053,5.311009
1559.5523776445916,21577.73,5.311054
1559.5728118504194,21581.96,5.3149705
1559.5932460563563,21572.807,5.3142962
1559.6136802626497,21586.87,5.3164225
1559.634114469176,21583.977,5.3137007
1559.6545486760442,21576.043,5.3191504
1559.6749829831533,21575.18,5.3187766
1559.6954170904937,21568.309,5.317039
1559.7158512980604,21574.064,5.32097
1559.7362856059844,21584.342,5.3208494
1559.7567197141398,21566.04,5.321309
1559.7771540225222,21588.482,5.3229284
1559.7975882312603,21577.848,5.3211617
1559.818022340114,21569.037,5.3222704
1559.8384566493114,21570.494,5.3236604
1559.8588908588645,21577.447,5.3226376
1559.8793249685332,21580.514,5.325724
1559.8997592785454,21580.418,5.324273
1559.9201934889134,21585.775,5.326724
1559.9406277993912,21571.182,5.3285527
1559.961061910224,21586.312,5.325135
1559.9814961212905,21571.025,5.3270535
1560.0019304325833,21577.938,5.3280144
1560.022364544231,21576.533,5.325773
1560.0427987561125,21580.9,5.331812
1560.0632330682201,21578.777,5.3297606
1560.0836671806828,21587.242,5.328969
1560.1041014932634,21578.611,5.3274536
1560.1245357061853,21584.758,5.330746
1560.1449698194629,21583.225,5.3310943
1560.1654041328584,21581.611,5.332111
1560.1858383465951,21583.84,5.32993
1560.2062724605712,21583.182,5.333383
1560.226706774898,21578.701,5.332455
1560.2471409893333,21589.236,5.3324575
1560.2675751041243,21575.799,5.3331738
1560.2880094191496,21580.994,5.3314786
1560.3084436345162,21577.229,5.3329477
1560.3288778501228,21580.432,5.334948
1560.3493120659623,21573.244,5.333145
1560.3697462820273,21573.184,5.3336053
1560.3901805984497,21576.33,5.334593
1560.4106147149869,21574.588,5.3332734
1560.4310489318668,21580.178,5.3341694
1560.451483249104,21592.135,5.334911
1560.4719173665726,21574.205,5.3345275
1560.4923516841518,21573.434,5.3355947
1560.5127859022032,21571.727,5.335537
1560.5332200203702,21569.021,5.3353577
1560.5536543388807,21585.107,5.336892
1560.5740885576306,21576.078,5.336653
1560.5945226766125,21586.176,5.336333
1560.6149569958216,21582.3,5.3365493
1560.6353912153863,21575.314,5.336072
1560.655825435184,21583.576,5.336129
1560.676259655207,21575.05,5.337367
1560.6966938755868,21580.904,5.3363156
1560.737562316921,21588.355,5.3375316
1560.7579965381155,21586.797,5.3378115
1560.77843085942,21580.537,5.338299
1560.7988649810795,21571.674,5.3376074
1560.8192992029726,21583.934,5.337687
1560.839733525092,21573.148,5.340486
1560.9623388635373,21579.807,5.3445086
1560.982772987525,21569.5,5.3425794
1561.0032073117472,21565.936,5.3424716
1561.0236415363106,21589.457,5.345805
1561.0440758611148,21576.307,5.3428288
1561.0645099861504,21591.783,5.3498096
1561.0849442114122,21546.838,5.3410525
1561.105378536915,21586.49,5.341588
1561.1258126627654,21579.434,5.3443174
1561.1462468888421,21581.35,5.3425517
1561.1666812151598,21572.73,5.340762
1561.1871153418251,21573.385,5.3440175
1561.2075495686004,21580.062,5.3444376
1561.227983895733,21581.162,5.3411565
1561.2484180230967,21567.299,5.3419375
1561.268852350804,21570.314,5.3413596
1561.2892865786343,21576.316,5.342885
1561.3097208068139,21581.438,5.3437567
1561.330155035219,21581.889,5.3433843
1561.3505892639805,21570.67,5.3420863
1561.3710234928585,21585.826,5.3427873
1561.3914577220785,21573.781,5.33908
1561.4118919515386,21577.006,5.3430023
1561.432326281225,21580.838,5.340844
1561.4527604112664,21565.229,5.339943
1561.473194641425,21564.73,5.340589
1561.4936288719327,21577.715,5.342204
1561.5140631026661,21566.096,5.3397417
1561.534497333756,21583.076,5.3410645
1561.5549316650722,21589.775,5.343657
1561.5753657965106,21567.533,5.3405805
1561.595800028299,21576.062,5.3412533
1561.6162343604374,21584.785,5.341843
1561.6366684926834,21573.014,5.3416204
1561.6571028252874,21572.076,5.339673
1561.6775370581163,21569.346,5.341168
1561.6979711911845,21577.672,5.342589
1561.718405524487,21574.465,5.3399467
1561.738839758138,21580.633,5.3412275
1561.7592738920139,21585.064,5.3413596
1561.7797082261313,21585.184,5.3404098
1561.8001424604736,21572.818,5.341959
1561.820576795173,21572.701,5.340972
1561.8410109299875,21580.488,5.341922
1561.861445165152,21577.273,5.341788
1561.8818795006591,21570.094,5.3416095
1561.9023136362885,21576.129,5.341868
1561.922747872144,21573.4,5.3404627
1561.943182208357,21586.81,5.340255
1561.9636163448013,21566.736,5.34016
1561.984050581479,21576.002,5.3420143
1562.0044849184997,21574.684,5.3393035
1562.0249191556431,21565.672,5.341822
