time,flux,flux_err
1559.2264984282301,,
1559.2469325610073,8485.74,3.7267444
1559.2673667939307,8481.471,3.7304673
1559.2878011269931,8495.48,3.7385933
1559.3082352601778,8492.705,3.7286742
1559.3286694935377,8490.419,3.7381885
1559.3491038270076,8491.909,3.7334778
1559.3695379606288,8488.479,3.7314825
1559.389972294397,8493.762,3.7420754
1559.4104065283027,8485.66,3.7408264
1559.4308407623612,8485.385,3.7425284
1559.4512749965652,8489.816,3.7487195
1559.4717092308783,8490.704,3.741269
1559.4921434653734,8487.18,3.7418907
1559.5125776999848,8486.598,3.7463706
1559.5330119347345,8485.4375,3.754638
1559.553446169637,8490.421,3.7556581
1559.573880404656,8497.936,3.751946
1559.5943146398422,8489.439,3.7551467
1559.6147488751521,8490.6045,3.751278
1559.6351831106367,8485.975,3.7536283
1559.6556173462304,8488.743,3.758175
1559.6760516819777,8487.476,3.7572181
1559.6964858178399,8483.079,3.7571778
1559.7169200538701,8486.418,3.76
1559.7373543900248,8493.986,3.7606623
1559.7577885263527,8482.084,3.7597036
1559.7782228627912,8484.99,3.762234
1559.7986570993526,8481.611,3.7590885
1559.8190912360878,8480.539,3.7626233
1559.8395255729338,8483.474,3.762952
1559.8599598099609,8490.401,3.7609017
1559.8803939471036,8483.377,3.765295
1559.900828284357,8479.741,3.763554
1559.9212625217915,8490.521,3.7642007
1559.941696859336,8481.728,3.7647355
1559.9621309970607,8479.333,3.7645433
1559.9825652349027,8483.748,3.7606847
1560.0029995728546,8482.686,3.7669787
1560.0234337109869,8483.59,3.7667043
1560.0438679492363,8477.562,3.7660747
1560.0643022876247,8486.024,3.7672837
1560.0847364261645,8480.204,3.7633915
1560.1051707648512,8485.971,3.7667494
1560.1256050036463,8475.646,3.7638936
1560.1460391425935,8483.799,3.770092
1560.1664734816877,8486.081,3.7685428
1560.1869077209194,8478.0205,3.7652469
1560.207341860274,8487.105,3.769839
1560.2277761997757,8481.11,3.7693534
1560.2482104394148,8472.8545,3.765325
1560.268644579206,8480.111,3.7674472
1560.2890789191151,8479.894,3.768161
1560.3095131591617,8483.072,3.7694185
1560.3299473993611,8475.422,3.770338
1560.350381639706,8481.022,3.7686872
1560.37081588016,8490.78,3.770814
1560.3912502207677,8471.406,3.768696
1560.4116843615193,8473.353,3.7671816
1560.43211860241,8483.391,3.7677722
1560.452552943425,8477.218,3.7663372
1560.472987084555,8479.532,3.7705898
1560.4934214258537,8473.434,3.7675471
1560.5138556672755,8481.125,3.7686007
1560.534289808842,8478.618,3.7707303
1560.5547241505774,8480.517,3.7686703
1560.5751583924066,8483.062,3.768629
1560.5955925343806,8481.211,3.7714927
1560.6160268764943,8476.75,3.7705069
1560.63646111876,8478.534,3.7708855
1560.6568953611422,8482.73,3.7695723
1560.6773296036627,8479.108,3.7703204
1560.6977638463068,8476.577,3.7694335
1560.7386323320534,8477.72,3.7704327
1560.759066575134,8472.94,3.7702658
1560.7795009183246,8476.8,3.7707226
1560.7999350616665,8473.499,3.770899
1560.8203693051255,8477.451,3.770933
1560.8408036487526,8471.981,3.7674484
1560.9634091132757,8392.352,2.7370322
1560.98384325784,8484.074,3.7694964
1561.004277602522,8483.542,3.7743175
1561.0247118473708,8483.699,3.7758613
1561.045146192344,8511.536,3.772699
1561.065580337432,8523.049,3.777561
1561.0860145826591,8471.823,3.7686176
1561.1064489280398,8500.223,3.7737732
1561.1268830735353,8483.213,3.7774231
1561.1473173191698,8481.342,3.776893
1561.167751664958,8469.233,3.7740078
1561.188185810861,8476.086,3.7761128
1561.2086200569029,8469.688,3.7734494
1561.2290544030984,8469.888,3.773296
1561.2494885494089,8477.225,3.7705843
1561.269922895859,8467.167,3.7734447
1561.2903571424322,8472.569,3.7744238
1561.3107913891508,8479.932,3.7753844
1561.3312256359786,8481.702,3.7743406
1561.3516598829592,8474.732,3.7741613
1561.3720941300853,8477.066,3.7730029
1561.3925283773206,8477.631,3.7719932
1561.4129626247086,8475.905,3.7754896
1561.4333969722356,8470.938,3.7725108
1561.4538311198849,8477.415,3.7734444
1561.4742653676803,8477.711,3.7742858
1561.4946996155631,8474.525,3.774281
1561.5151338636133,8474.054,3.773536
1561.5355681118162,8478.043,3.7747993
1561.556002460129,8479.193,3.774548
1561.576436608564,8472.474,3.773807
1561.5968708571454,8478.946,3.773586
1561.617305205873,8469.425,3.7717342
1561.6377393547082,8467.461,3.7722623
1561.6581737036977,8477.984,3.7748086
1561.6786079527956,8473.215,3.7735589
1561.6990421020164,8472.628,3.7742012
1561.7194764514134,8478.634,3.7743013
1561.739910700926,8472.827,3.7740104
