time,flux,flux_err
1559.2258676188576,,
1559.2463016748588,9163.139,3.9935856
1559.26673583121,9166.597,3.9988928
1559.2871700876713,9178.354,3.9982297
1559.307604144371,9169.0,3.9959552
1559.3280383013043,9171.098,3.9989045
1559.348472558464,9170.311,3.99846
1559.3689066157458,9172.076,3.9962282
1559.3893408733784,9164.772,3.9944737
1559.4097750311194,9169.043,3.996814
1559.4302091892168,9170.238,3.9998853
1559.4506433474307,9157.711,3.994914
1559.4710775058702,9162.849,3.9943123
1559.4915116645498,9172.232,3.996231
1559.5119458233457,9167.647,3.9957771
1559.5323799824837,9168.839,3.9974813
1559.5528141417453,9175.367,3.999319
1559.5732483012398,9170.969,4.000066
1559.5936824609598,9168.0205,3.9979374
1559.61411662092,9172.369,3.9979477
1559.634550781113,9173.76,4.001975
1559.6549849415314,9166.05,4.0010457
1559.6754192020744,9169.226,4.0001807
1559.695853262965,9171.401,3.9995472
1559.7162874239657,9166.622,4.0001497
1559.7367216852072,9163.818,3.998698
1559.75715574668,9172.658,3.9985154
1559.7775900083798,9178.235,4.0012016
1559.7980241702026,9174.972,3.9986293
1559.8184582323738,9167.64,4.001176
1559.8388924946557,9168.461,3.9996922
1559.859326657177,9174.217,4.001806
1559.8797607199303,9171.399,3.9981794
1559.9001949829108,9170.671,3.9985867
1559.9206291461305,9170.417,4.000103
1559.9410634094602,9172.565,3.999034
1559.9614974730284,9153.572,3.999218
1559.9819316368303,9168.755,4.000694
1560.0023659008584,9170.569,4.000152
1560.0227999651252,9166.069,3.9990306
1560.0432341296255,9171.018,4.003
1560.0636683943521,9166.589,3.999144
1560.084102459201,9169.516,4.002594
1560.1045367242841,9171.48,3.9999814
1560.124970889592,9164.855,4.000956
1560.1454049551394,9172.624,4.0011497
1560.165839220921,9167.117,4.0004697
1560.186273386811,9163.741,3.9997945
1560.2067074530569,9158.566,3.9982057
1560.2271417194206,9168.521,4.0022583
1560.2475758860091,9164.509,4.002867
1560.268009952837,9171.613,4.001672
1560.2884442198992,9166.96,3.9998984
1560.3088783870699,9165.234,3.9999723
1560.3293125544806,9169.609,4.000419
1560.349746722124,9167.851,4.000586
1560.3701808901096,9171.35,4.002139
1560.3906151581032,9169.081,4.002696
1560.4110492264444,9162.442,4.000806
1560.431483395012,9167.416,4.0019755
1560.451917663704,9166.499,4.0001116
1560.4723517326274,9159.012,4.0003247
1560.4927860017779,9171.487,4.0002065
1560.5132201711676,9178.213,4.0049334
1560.533654240673,9165.508,4.003296
1560.554088510522,9166.251,4.0017624
1560.5745226804938,9166.746,4.0031023
1560.5949567506977,9166.22,4.002492
1560.6153910211287,9169.253,4.0030355
1560.635825191799,9171.847,4.003419
1560.6562593625858,9166.3125,4.003445
1560.6766935337146,9170.392,4.00412
1560.697127704967,9171.471,4.003919
1560.737996048163,9165.659,4.000534
1560.7584302199975,9172.925,4.0054092
1560.7788644921748,9176.63,4.0047855
1560.7992985644742,9171.563,4.0020094
1560.8197327370071,9166.132,4.0021935
1560.8401670097664,9172.485,4.0065856
1560.9627720506542,9169.221,2.7522225
1560.9832061249326,9169.727,4.002129
1561.003640399329,9212.937,4.009744
1561.0240745739502,9179.489,4.006454
1561.0445088488123,9168.537,3.9953287
1561.0649429239056,9167.741,4.0012484
1561.0853770992253,9168.13,4.00234
1561.1058113746694,9157.4,4.0043716
1561.1262454503449,9169.171,4.0051107
1561.1466796262466,9167.284,4.0003667
1561.1671139023892,9169.0205,4.00446
1561.1875479787632,9175.472,4.004881
1561.207982155247,9164.425,4.001181
1561.2284164319717,9172.088,4.0044246
1561.2488505089277,9188.688,4.010515
1561.2692847861108,9175.02,4.0026765
1561.2897189635332,9182.182,4.0062914
1561.310153141072,9171.75,4.007164
1561.3305873188365,9171.998,4.00591
1561.351021496841,9171.634,4.004105
1561.3714556750783,9180.847,4.00601
1561.3918898535412,9166.176,4.005167
1561.4123240321278,9171.737,4.00373
1561.432758310999,9164.294,4.003318
1561.4531923900504,9172.858,4.0066333
1561.4736265692773,9166.277,4.003633
1561.494060748737,9173.435,4.00528
1561.5144949284222,9174.237,4.0056405
1561.5349291082894,9191.712,4.011626
1561.5553633883828,9166.05,4.0053105
1561.5757974687149,9165.354,4.0047317
1561.596231649164,9165.423,4.0059996
1561.6166659299051,9165.548,4.004488
1561.637100010812,9170.692,4.0052853
1561.6575342919605,9166.088,4.005453
1561.6779684732755,9177.323,4.005103
1561.69840255483,9170.799,4.0044713
1561.7188368366187,9163.559,4.0057316
1561.7392710185813,9168.868,4.0072374
1561.7597051007106,9165.66,4.0035577
1561.7801393830814,9179.174,4.006827
1561.800573565677,9172.778,4.00607
