ID,Long,Fecha_inicio,Fecha_final
11718144,64794.0,2009-05-13 00:17:01.896537,2013-05-11 12:01:34.800799
7625143,64796.0,2009-05-13 00:17:16.627497,2013-05-11 12:01:25.675108
3751231,64796.0,2009-05-13 00:17:59.846333,2013-05-11 12:01:57.251015
3103473,64799.0,2009-05-13 00:18:31.920782,2013-05-11 12:02:32.107070
8439949,64794.0,2009-05-13 00:17:20.494042,2013-05-11 12:01:34.306745
6517064,64797.0,2009-05-13 00:18:01.585511,2013-05-11 12:02:11.250213
11465869,65264.0,2009-05-02 00:55:25.209316,2013-05-11 12:01:22.589699
8564674,64793.0,2009-05-13 00:17:29.908545,2013-05-11 12:01:45.375089
3228804,64794.0,2009-05-13 00:18:18.865753,2013-05-11 12:02:17.407975
6386784,65266.0,2009-05-02 00:55:38.104118,2013-05-11 12:01:19.645172
7886329,65263.0,2009-05-02 00:56:20.250292,2013-05-11 12:02:07.762769
7820699,64794.0,2009-05-13 00:17:47.668155,2013-05-11 12:02:01.569444
9278216,64798.0,2009-05-13 00:17:40.356236,2013-05-11 12:02:01.779086
11968514,65263.0,2009-05-02 00:55:35.460412,2013-05-11 12:01:35.371003
6200235,64797.0,2009-05-13 00:18:03.098981,2013-05-11 12:02:11.128251
6525106,64798.0,2009-05-13 00:17:48.097312,2013-05-11 12:01:55.362236
7581535,64793.0,2009-05-13 00:18:47.241369,2013-05-11 12:03:11.832911
5905822,65267.0,2009-05-02 00:55:31.887775,2013-05-11 12:01:11.923945
10065053,64791.0,2009-05-13 00:17:50.288731,2013-05-11 12:02:19.140165
11236244,51501.0,2009-05-13 00:17:41.000318,2013-05-11 12:02:15.994539
9899233,64793.0,2009-05-13 00:17:12.476715,2013-05-11 12:01:34.196710
11803074,51504.0,2009-05-13 00:17:46.515798,2013-05-11 12:02:27.302354
12645761,65264.0,2009-05-02 00:55:56.722673,2013-05-11 12:02:00.993529
11465950,64795.0,2009-05-13 00:16:52.469174,2013-05-11 12:01:22.382473
5770074,50642.0,2009-05-02 00:57:07.319605,2013-04-08 11:01:41.269752
8176019,54966.0,2009-12-19 21:32:07.441837,2013-05-11 12:01:33.947111
5210475,54969.0,2009-12-19 21:31:49.882915,2013-05-11 12:01:23.488812
5547480,51814.0,2009-05-13 00:17:33.498357,2013-05-11 12:01:35.012403
9003401,65261.0,2009-05-02 00:56:52.843441,2013-05-11 12:02:46.701725
11502172,64797.0,2009-05-13 00:17:32.206712,2013-05-11 12:02:07.665808
11254382,64795.0,2009-05-13 00:16:56.399307,2013-05-11 12:01:25.118885
11232745,51502.0,2009-05-13 00:17:51.851084,2013-05-11 12:02:28.706455
