ID,Long,Fecha_inicio,Fecha_final
7373877,64794.0,2009-05-13 00:17:27.334299,2013-05-11 12:01:36.435281
10332883,64793.0,2009-05-13 00:17:39.823700,2013-05-11 12:02:08.278191
9178502,65266.0,2009-05-02 00:55:17.304630,2013-05-11 12:01:06.297389
5629985,51814.0,2009-05-13 00:17:38.666343,2013-05-11 12:01:41.014037
5795648,65267.0,2009-05-02 00:56:11.103183,2013-05-11 12:01:52.322380
8260198,64797.0,2009-05-13 00:16:55.343655,2013-05-11 12:01:05.900522
11616200,65263.0,2009-05-02 00:55:36.192635,2013-05-11 12:01:34.697109
5794570,65267.0,2009-05-02 00:56:13.153956,2013-05-11 12:01:54.479076
2438502,63170.0,2009-06-20 06:22:57.512841,2013-05-11 12:02:14.393361
10341878,65283.0,2009-05-02 00:55:52.444568,2013-05-11 12:01:46.793181
11234677,51970.0,2009-05-02 00:56:22.148023,2013-05-11 12:02:21.970638
6863839,64794.0,2009-05-13 00:17:49.840825,2013-05-11 12:01:58.989394
6600515,64797.0,2009-05-13 00:18:01.570826,2013-05-11 12:02:11.575269
3120431,63171.0,2009-06-20 06:22:47.625971,2013-05-11 12:01:59.800137
4915582,65263.0,2009-05-02 00:56:38.618795,2013-05-11 12:02:19.446547
9962595,51732.0,2009-05-13 00:17:06.403352,2013-05-11 12:01:27.727748
5036537,54969.0,2009-12-19 21:31:49.605629,2013-05-11 12:01:21.134680
6692833,64794.0,2009-05-13 00:17:49.580979,2013-05-11 12:01:58.009614
3751118,64796.0,2009-05-13 00:17:59.819397,2013-05-11 12:01:57.403508
3336476,65263.0,2009-05-02 00:56:39.021106,2013-05-11 12:02:16.487430
12108312,64796.0,2009-05-13 00:17:22.268132,2013-05-11 12:02:01.062051
6032517,64794.0,2009-05-13 00:18:13.733363,2013-05-11 12:02:22.996417
6368175,64793.0,2009-05-13 00:17:46.165116,2013-05-11 12:01:52.494164
5983532,64797.0,2009-05-13 00:17:19.478196,2013-05-11 12:01:21.044083
4645492,64794.0,2009-05-13 00:18:18.835659,2013-05-11 12:02:22.494273
9640907,64792.0,2009-05-13 00:17:50.832431,2013-05-11 12:02:16.703920
10735988,64793.0,2009-05-13 00:17:13.442164,2013-05-11 12:01:40.391088
9598315,65262.0,2009-05-02 00:55:39.950877,2013-05-11 12:01:31.028719
5978559,64797.0,2009-05-13 00:17:26.004604,2013-05-11 12:01:28.175793
9718379,64793.0,2009-05-13 00:17:14.250091,2013-05-11 12:01:35.048327
5536715,64798.0,2009-05-13 00:17:52.446846,2013-05-11 12:01:56.045777
7177766,65261.0,2009-05-02 00:57:06.376842,2013-05-11 12:02:55.582405
11769146,64794.0,2009-05-13 00:17:00.007450,2013-05-11 12:01:33.054208
11498128,51501.0,2009-05-13 00:17:43.627200,2013-05-11 12:02:20.943610
6068947,65266.0,2009-05-02 00:55:33.969965,2013-05-11 12:01:14.556223
4947556,65266.0,2009-05-02 00:55:45.105265,2013-05-11 12:01:23.220351
7902003,65263.0,2009-05-02 00:55:47.317957,2013-05-11 12:01:33.195100
12056139,64797.0,2009-05-13 00:17:30.940485,2013-05-11 12:02:10.816987
9224514,64793.0,2009-05-13 00:17:21.981612,2013-05-11 12:01:40.675830
7449136,65262.0,2009-05-02 00:56:06.122300,2013-05-11 12:01:51.454235
7841925,64796.0,2009-05-13 00:17:09.389380,2013-05-11 12:01:18.682315
