ID,Long,Fecha_inicio,Fecha_final
8934103,64792.0,2009-05-13 00:18:22.161913,2013-05-11 12:02:49.338620
9640946,64792.0,2009-05-13 00:17:50.611571,2013-05-11 12:02:16.533633
2283362,64794.0,2009-05-13 00:18:45.104003,2013-05-11 12:02:45.240292
4056616,65265.0,2009-05-02 00:56:26.706970,2013-05-11 12:02:04.880812
5610698,64794.0,2009-05-13 00:18:13.826312,2013-05-11 12:02:21.105686
6041734,54970.0,2009-12-19 21:31:38.324036,2013-05-11 12:02:03.246389
1865864,63171.0,2009-06-20 06:22:58.615692,2013-05-11 12:02:11.095579
12505590,64797.0,2009-05-13 00:17:24.946462,2013-05-11 12:02:07.348461
5272878,64794.0,2009-05-13 00:18:03.082727,2013-05-11 12:02:06.840757
5989391,65267.0,2009-05-02 00:55:32.419378,2013-05-11 12:01:12.653523
10201891,64791.0,2009-05-13 00:17:38.605541,2013-05-11 12:02:06.376577
5342473,50173.0,2009-05-13 00:18:39.126064,2013-04-08 11:01:36.960170
7134626,64794.0,2009-05-13 00:17:20.694936,2013-05-11 12:01:27.820947
4544620,63168.0,2009-06-20 06:22:53.752853,2013-05-11 12:02:42.856569
12454461,65266.0,2009-05-02 00:56:06.431034,2013-05-11 12:02:10.545716
10686876,52202.0,2009-05-02 00:55:16.949031,2013-05-11 12:01:10.870984
3644399,64796.0,2009-05-13 00:18:08.924648,2013-05-11 12:02:07.396625
7033748,64794.0,2009-05-13 00:17:50.020235,2013-05-11 12:02:00.084328
7985167,65266.0,2009-05-02 00:55:24.379004,2013-05-11 12:01:09.750994
8880003,64793.0,2009-05-13 00:17:48.191397,2013-05-11 12:02:08.523568
5546761,51814.0,2009-05-13 00:17:34.718195,2013-05-11 12:01:36.133786
10879208,71432.0,2009-06-20 06:21:13.725213,2013-05-11 12:01:15.445034
10011213,63190.0,2009-06-20 06:21:41.573160,2013-05-11 12:01:54.281728
9965957,51732.0,2009-05-13 00:17:00.563256,2013-05-11 12:01:21.248963
6803855,64797.0,2009-05-13 00:17:12.171868,2013-05-11 12:01:16.877922
6268722,50642.0,2009-05-02 00:56:54.627308,2013-04-08 11:01:32.159487
11046025,51733.0,2009-05-13 00:16:47.901154,2013-05-11 12:01:14.100027
8547213,64792.0,2009-05-13 00:18:11.249932,2013-05-11 12:02:33.444666
5953297,64797.0,2009-05-13 00:18:08.259021,2013-05-11 12:02:16.260365
11972666,64797.0,2009-05-13 00:16:51.055085,2013-05-11 12:01:24.628800
7115463,64794.0,2009-05-13 00:17:54.086276,2013-05-11 12:02:05.052942
5213902,64797.0,2009-05-13 00:17:20.203046,2013-05-11 12:01:18.689713
6837283,65263.0,2009-05-02 00:57:16.107839,2013-05-11 12:03:05.472766
9849884,52204.0,2009-05-02 00:55:23.690128,2013-05-11 12:01:15.002806
5444548,64794.0,2009-05-13 00:18:05.244101,2013-05-11 12:02:10.384169
