time,flux,flux_err
1559.2261865806577,,
1559.2466208324695,16978.438,4.594791
1559.2670551844567,16976.514,4.5989523
1559.2874896366702,16973.645,4.6027
1559.307923889006,16963.143,4.600276
1559.3283582415752,16970.258,4.6040525
1559.3487926942544,16964.941,4.5990906
1559.3692269471721,16963.93,4.600395
1559.3896614002078,16967.463,4.6059804
1559.4100957534683,16973.111,4.5998774
1559.4305301068525,16971.93,4.6110816
1559.4509644604695,16974.373,4.609676
1559.471398814254,16958.566,4.6055975
1559.491833168162,16966.705,4.614363
1559.5122675223029,16962.277,4.6066604
1559.532701876611,16965.943,4.610147
1559.553136231043,16968.607,4.621894
1559.5735705857078,16957.13,4.611944
1559.59400494054,16957.203,4.6162176
1559.614439295554,16962.059,4.61704
1559.6348736507425,16957.6,4.6150765
1559.6553080060403,16955.066,4.6193924
1559.675742461579,16953.465,4.6178174
1559.6961767172907,16953.623,4.61732
1559.7166110731705,16960.316,4.623108
1559.737045529233,16964.295,4.6175547
1559.7574797854686,16955.889,4.6202626
1559.7779142418149,16956.484,4.6217093
1559.7983485984005,16951.047,4.6183352
1559.81878285516,16951.672,4.621012
1559.8392173120883,16951.492,4.623445
1559.8596516691978,16952.863,4.6211333
1559.8800859264811,16953.236,4.623876
1559.9005203838751,16951.188,4.6258335
1559.9209547415085,16952.35,4.623191
1559.94138919931,16944.0,4.626419
1559.9618234572918,16948.453,4.6173644
1559.9822578153908,16954.422,4.6250143
1560.002692273716,16947.197,4.6217937
1560.0231265322218,16953.477,4.6253605
1560.0435608909029,16940.525,4.6245337
1560.0639953496939,16944.215,4.622198
1560.0844296087234,16945.781,4.6276517
1560.104864067871,16947.668,4.6262517
1560.1252984272433,16942.484,4.62616
1560.1457326867385,16944.295,4.626808
1560.166167146468,16945.035,4.624716
1560.186601506306,16933.453,4.626383
1560.2070357663833,16939.715,4.626621
1560.2274702265786,16947.912,4.6275754
1560.2479045869986,16943.85,4.6282263
1560.2683388475416,16939.094,4.62408
1560.2887733082607,16937.633,4.626238
1560.3092076691464,16930.998,4.625408
1560.3296420302722,16937.236,4.629467
1560.3500763915144,16941.568,4.626269
1560.370510752924,16943.627,4.6277385
1560.3909452145163,16925.215,4.6293674
1560.4113794762816,16936.473,4.6262164
1560.431813838215,16930.791,4.6261716
1560.4522483003311,16926.256,4.626503
1560.4726825626203,16925.93,4.6299334
1560.4931170250202,16939.777,4.6297784
1560.5135513876594,16926.062,4.628942
1560.5339856504143,16936.086,4.629166
1560.5544201133962,16923.59,4.630609
1560.5748544765593,16929.484,4.628625
1560.595288739838,16921.865,4.6279154
1560.6157232032856,16933.93,4.630882
1560.6361575669725,16932.168,4.629307
1560.656591930776,16934.95,4.6301966
1560.6770262947466,16927.846,4.62932
1560.6974606588992,16924.432,4.631244
1560.738329387721,16934.477,4.6294155
1560.7587637523975,16923.467,4.631163
1560.779198217242,16924.408,4.631935
1560.799632482267,16920.52,4.6329994
1560.8200668474092,16921.814,4.631153
1560.8405013127776,16920.383,4.6278257
1560.963107508389,16875.787,3.2782362
1560.983541774869,16917.516,4.6322207
1561.0039762415836,16953.219,4.6441674
1561.0244106084647,16903.584,4.633853
1561.0448450754702,16912.701,4.632332
1561.065279342707,16912.45,4.6373186
1561.0857137100538,16903.826,4.6348968
1561.1061481775832,16999.637,4.64385
1561.126582445344,16909.488,4.6354628
1561.1470168132146,16923.309,4.6342793
1561.1674512812097,16908.406,4.635466
1561.187885549436,16920.059,4.6347394
1561.2083199178305,16915.164,4.6352577
1561.2287543863495,16934.236,4.6369653
1561.2491886550415,16960.078,4.6431904
1561.2696231239606,16921.729,4.6365457
1561.2900574930027,16913.422,4.634453
1561.3104918622194,16902.064,4.6343703
1561.3309262316034,16919.604,4.6352224
1561.3513606011693,16926.984,4.636992
1561.3717949708516,16923.771,4.636241
1561.3922293407595,16945.8,4.639291
1561.412663710791,16914.148,4.6333404
1561.433098181049,16928.78,4.637144
1561.4535324513708,16922.83,4.634888
1561.4739668219263,16921.967,4.634102
1561.4944011926564,16911.266,4.6344113
1561.5148355635538,16924.605,4.634962
1561.535269934575,16910.826,4.6345305
1561.5557044058223,16923.785,4.633927
1561.576138677192,16925.564,4.636551
1561.596573048737,16923.596,4.633918
1561.6170075204573,16926.766,4.635406
1561.6374417923435,16923.238,4.6350017
1561.6578762643549,16929.164,4.636919
1561.678310636591,16919.594,4.6349554
1561.6987449089502,16938.143,4.635254
1561.7191793814854,16925.783,4.635664
1561.7396137541946,16934.252,4.6354938
1561.7600480270703,16916.58,4.635356
1561.7804825001294,16935.209,4.6354966
1561.800916873297,16933.877,4.634343
1561.8213513467053,16940.76,4.6359153
1561.8417856202286,16935.424,4.6359386
1561.8622199939273,16939.7,4.637308
1561.882654467794,16940.973,4.634476
1561.903088741783,16963.916,4.6377597
1561.9235231159983,16930.219,4.635755
1561.943957590338,16936.318,4.6362524
1561.9643918648508,16931.793,4.6366363
1561.984826239539,16937.809,4.634995
1562.0052607143953,16964.29,4.638383
1562.0256950893745,16933.758,4.6361103
1562.046129464521,16936.4,4.6358533
1562.0665638399078,16930.35,4.635891
1562.086998115352,16962.537,4.6367173
1562.107432591023,16935.584,4.6363378
1562.1278669668754,16936.96,4.635711
1562.1483012428434,16950.312,4.6372643
1562.1687357189803,16942.545,4.636837
1562.1891700952983,16940.545,4.6369104
1562.2096045717917,16949.36,4.6372232
1562.230038848451,16959.549,4.637883
1562.2504732252346,16948.621,4.6362624
1562.2709077021937,16978.797,4.638038
1562.2913419793185,16952.008,4.636688
1562.311776356626,16941.781,4.6372614
1562.332210834109,16946.861,4.637202
1562.3526451116995,16948.633,4.636454
1562.3730795894735,16952.135,4.635369
1562.3935139674213,16959.738,4.6383624
1562.4139482454775,16956.285,4.637679
1562.4343827237753,16959.49,4.636733
1562.4548171021888,16958.27,4.638223
1562.475251380769,16952.084,4.6371293
