time,flux,flux_err
1472.1169346715978,25869.863,6.5907564
1472.1373679611133,25863.611,6.5924263
1472.1578010511003,25872.045,6.592256
1472.1782343413215,25865.822,6.59018
1472.1986675317676,25855.508,6.590993
1472.2191006226858,25868.984,6.589619
1472.239533913722,25869.775,6.588355
1472.2599671052158,25854.424,6.590682
1472.280400196949,25871.555,6.5895705
1472.3008334890328,25859.402,6.593305
1472.3212666813415,25868.242,6.593489
1472.3416998740067,25873.408,6.5928426
1472.3621330670212,25877.432,6.5958905
1472.3825662602612,25877.574,6.5964155
1472.4029995538585,25868.336,6.5966816
1472.4234326476872,25862.424,6.595212
1472.4438658418585,25804.104,6.590422
1472.4642991363871,25788.717,6.5888524
1472.4847323311405,25787.002,6.5903716
1472.5051654262497,25784.238,6.5891395
1472.5255987217097,25783.988,6.5927753
1472.5460319174017,25834.047,6.597686
1472.5664651134357,25864.18,6.597427
1472.5868983098262,25866.81,6.5989447
1472.6073315064423,25870.762,6.6004243
1472.6277647034149,25877.389,6.599562
1472.6481979006203,25878.104,6.600262
1472.668631098175,25870.533,6.6028547
1472.6890642960716,25858.596,6.6019216
1472.7094974942083,25885.455,6.604558
1472.7299305926936,25882.156,6.6041813
1472.7503638915223,25872.766,6.6034827
1472.7707970905903,25870.549,6.6035013
1472.7912303900011,25875.092,6.60267
1472.8116634896505,25873.223,6.60325
1472.83209668965,25868.79,6.602222
1472.852529989992,25867.043,6.605897
1472.8729630905727,25881.688,6.605817
1472.8933962915034,25867.742,6.6034465
1472.913829592777,25877.898,6.606046
1472.934262694289,25883.947,6.6031065
1472.9751291983557,25880.86,6.6055207
1472.9955624007998,25878.842,6.6071424
1473.0159956035932,25873.172,6.605457
1473.036428806612,25884.416,6.608074
1473.0568620099875,25880.24,6.607541
1473.0772952137122,25884.916,6.60703
1473.0977284176624,25881.55,6.60783
1473.1181616219692,25866.396,6.605743
1473.138594926626,25882.361,6.6062555
1473.1590280316232,25876.137,6.606209
1473.179461336862,25869.406,6.6040473
1473.199894542333,25881.486,6.608911
1473.220327648145,25888.215,6.6074705
1473.2407609543152,25880.69,6.608638
1473.2611941608338,25889.516,6.6080623
1473.2816272675773,25876.115,6.6072097
1473.3020605746788,25875.78,6.608291
1473.3224937820123,25876.678,6.6071954
1473.3429268898035,25877.18,6.6079307
1473.3633601977199,25888.102,6.609728
1473.3837933061004,25876.781,6.609361
1473.404226614708,25879.004,6.6087933
1473.4246598236714,25892.555,6.610471
1473.4450929328668,25875.389,6.609637
1473.4655262424058,25892.365,6.6099553
1473.4859594523004,25869.682,6.6083393
1473.506392662428,25878.814,6.607148
1473.5268258728975,25891.55,6.6071076
1473.5472590837235,25886.402,6.610091
1473.5676923947758,25877.498,6.6088347
1473.5881255061831,25878.41,6.609097
1473.608558717824,25879.305,6.6109548
1473.6494252421471,25878.594,6.610616
1473.669858354835,25883.29,6.6111274
1473.69029166775,25881.916,6.6097054
1473.7107248810207,25880.602,6.6083746
1473.73115799464,25889.78,6.611164
1473.7515913084935,25880.748,6.6099324
1473.7720245226883,25881.273,6.6098466
1473.7924577371232,25874.031,6.6109376
1473.8128909519,25880.969,6.6107645
1473.8333241670334,25887.367,6.611043
1473.8537574825168,25889.744,6.6115108
1473.8741905982315,25875.607,6.6101933
1473.8946238141725,25893.07,6.610948
1473.9150570305865,25878.607,6.611591
1473.935490247226,25889.117,6.612349
1473.9559235642228,25885.332,6.610824
1473.9763566814509,25874.45,6.6111283
1473.9967898990217,25875.447,6.6116605
1474.0172232169498,25887.656,6.6119466
1474.0376563351092,25886.715,6.6118283
1474.0580895536114,25874.057,6.61081
1474.0785228724708,25878.576,6.612464
1474.0989559915615,25890.344,6.6123066
1474.119389210995,25871.836,6.6109734
1474.1398225307858,25886.545,6.612982
1474.1602556509242,25868.28,6.610123
1474.1806889711734,25871.242,6.6115537
1474.2011221918947,25887.49,6.6115394
1474.2215554129652,25884.453,6.6132083
1474.2419886342614,25880.52,6.612625
1474.2624218557976,25883.727,6.613582
1474.2828550777995,25877.21,6.612825
1474.3032884000277,25869.408,6.6110163
1474.3237215224945,25876.328,6.6121726
1474.3441548454284,25878.842,6.612163
1474.3645880685872,25880.865,6.610927
1474.3850211921017,25881.738,6.6128917
1474.4054545158433,25889.604,6.6145163
1474.4258877399407,25871.682,6.61236
1474.4463208643865,25888.602,6.6142764
1474.4667541890667,25882.93,6.6152515
1474.487187414088,25877.574,6.6137366
1474.5076205394653,25885.408,6.613969
1474.5280538650695,25881.617,6.6135345
1474.5484870910295,25879.098,6.6134663
1474.5689203173388,25874.596,6.6134715
1474.5893535439973,25879.342,6.613975
1474.6097867708813,25876.729,6.6136613
1474.6302199980055,25874.45,6.6135736
1474.650653225588,25876.307,6.613505
1474.6710864534107,25880.928,6.614658
1474.6915196815826,25877.965,6.6134896
1474.7119529099873,25877.59,6.613243
1474.7323862387348,25872.33,6.613907
1474.7528193678372,25873.162,6.614275
1474.7732525972824,25874.127,6.613573
1474.7936859269685,25879.256,6.6141696
1474.8141190570022,25875.158,6.6144567
1474.8345522872696,25876.848,6.6148467
1474.8549856179961,25903.514,6.618292
1474.8754188488456,25876.8,6.614137
1474.8958519801527,25874.719,6.6144238
1474.9162853117014,25883.416,6.61477
1474.9367185435985,25896.662,6.61464
1474.9571517758377,25880.271,6.614693
1474.977585008317,25880.316,6.614171
1474.9980182411455,25866.879,6.614022
1475.0184515743167,25874.111,6.614175
1475.0388847077265,25873.877,6.6143537
1475.0593179414864,25873.596,6.6150794
1475.079751275589,25879.402,6.6149993
1475.10018440993,25869.531,6.6139884
1475.120617744622,25878.273,6.6154914
1475.1410509796551,25882.863,6.614779
1475.161484115044,25897.05,6.616433
1475.1819174506672,25880.498,6.6154904
1475.2023506866317,25885.176,6.6146436
1475.2227838228355,25881.643,6.6154814
1475.24321715939,25897.885,6.616431
1475.263650296285,25890.4,6.616126
1475.2840835335373,25880.316,6.6156087
1475.3045168710232,25881.7,6.6159053
1475.3249500088496,25868.354,6.614694
1475.345383347034,25872.744,6.614795
1475.3658165854504,25867.326,6.6148295
1475.3862498242088,25875.145,6.615662
1475.4066830633237,25884.18,6.6155868
1475.4271163026715,25871.82,6.61523
1475.4475495423612,25868.127,6.6157846
1475.4679827824075,25875.99,6.6150913
1475.4884160226866,25880.357,6.6155143
1475.5088493633084,25874.672,6.6157155
1475.529282604286,25872.666,6.615731
1475.549715745612,25863.541,6.6157613
1475.5701490871652,25874.812,6.616
1475.590582329074,25881.748,6.615947
1475.6110154713315,25877.516,6.615871
1475.631448813816,25890.684,6.617049
1475.6518820566562,25874.082,6.616527
1475.672315199845,25878.168,6.6162205
1475.6927485432607,25878.004,6.6162243
1475.7131817870322,25902.33,6.618266
1475.7336151311465,25875.94,6.61716
1475.7540482754994,25890.037,6.618081
1475.7744815203187,25879.74,6.616896
1475.7949148653643,25870.445,6.616119
1475.8153480106484,25870.555,6.616152
1475.835781256399,25884.934,6.6175
1475.8562145022588,25874.725,6.6168404
1475.8766477485915,25867.762,6.6168165
1475.8970809952734,25887.162,6.617495
1475.9175142421882,25878.258,6.61656
1475.937947489445,25873.617,6.6176143
1475.9583808369425,25880.975,6.6178303
1475.9788139847806,25882.58,6.6171064
1475.999247232976,25887.045,6.6181364
1476.0196805815212,25887.387,6.618552
1476.040113730298,25874.46,6.6169667
1476.0605469794173,25886.133,6.617679
1476.080980328894,25874.057,6.6166577
1476.1014135785954,25872.979,6.616972
1476.1218468286534,25882.033,6.6166186
1476.1422800790606,25878.074,6.6170735
1476.1627133298098,25871.64,6.617794
1476.1831466807998,25878.674,6.6178117
1476.2035798321376,25883.742,6.6167336
1476.2240130837017,25893.395,6.618435
1476.2444464357395,25885.602,6.6171923
1476.2648795880086,25874.3,6.6170354
1476.285312840504,25871.66,6.617198
1476.3057461934732,25887.139,6.6167946
1476.3261793466736,25863.89,6.6162243
1476.3466127002175,25878.297,6.616429
1476.3670459541172,25870.402,6.616119
1476.387479108249,25873.248,6.617328
1476.4079124627242,25881.182,6.6173577
1476.4283457175552,25865.355,6.6168714
1476.4487788726183,25901.2,6.6182046
1476.4692122280248,25875.152,6.616889
1476.4896454837872,25868.543,6.616316
1476.5100787398987,25874.2,6.6171155
1476.5305119962359,25883.5,6.6172814
1476.5509452529295,25877.4,6.6171517
1476.571378509856,25881.3,6.616949
1476.5918117672409,25823.771,6.614796
1476.63267828284,25791.148,6.611792
1476.6531115410398,25790.043,6.612351
1476.6735447997125,25800.658,6.613349
1476.6939781586116,25847.15,6.6160293
1476.7144113177492,25885.691,6.6180162
1476.734844677354,25883.746,6.6183696
1476.7552779371836,25876.152,6.617871
1476.775711097369,25867.637,6.6177516
1476.7961444577886,25885.033,6.6186843
1476.816577718666,25893.178,6.6184325
1476.8370108797826,25877.646,6.6167774
1476.8574442411336,25882.79,6.6182733
1476.8778775029423,25878.39,6.6181574
1476.8983108649918,25879.816,6.6178193
1476.918744027389,25864.93,6.6168656
1476.9391772900126,25881.18,6.6179695
1476.9596106531098,25877.836,6.6180835
1476.9800438164384,25874.553,6.6181064
1477.0004770801097,25884.717,6.6183305
1477.0209104440219,25877.24,6.617866
1477.0413436082817,25881.777,6.6171293
1477.0617768728844,25875.273,6.617918
1477.0822102378443,25872.209,6.6177807
1477.1026434030355,25875.578,6.6180606
1477.1230767685702,25873.97,6.6175
1477.1435100344606,25878.867,6.6182733
1477.1639433007003,25877.402,6.6180353
1477.1843765671656,25879.648,6.617351
1477.2048097339866,25882.986,6.618248
1477.2252430011577,25873.738,6.617972
1477.245676368555,25872.973,6.618632
1477.266109636308,25884.188,6.6184316
1477.2865429044105,25877.988,6.616896
1477.3069761728548,25873.05,6.6043353
1488.6883549580962,25877.436,6.6061096
1488.7087885089713,25864.611,6.614888
1488.7292218601942,25855.799,6.6135316
1488.7496554116442,25880.057,6.6158123
1488.7700888635663,25864.467,6.6161127
1488.7905222158297,25871.576,6.6167827
1488.8109557683347,25863.453,6.6158147
1488.8313892211881,25866.34,6.6173396
1488.85182257439,25858.498,6.6176558
1488.8722561279355,25865.488,6.6184006
1488.8926895818367,25872.254,6.6163096
1488.9131229360792,25869.723,6.618209
1488.9335564905632,25869.416,6.617534
1488.9539899455121,25862.396,6.61963
1488.9744235006874,25858.924,6.619516
1488.9948568562177,25883.898,6.621039
1489.015290312098,25843.512,6.619003
1489.0357237683202,25799.805,6.615069
1489.056157224899,25778.375,6.6151695
1489.076590681827,25772.041,6.613812
1489.0970241389805,25778.08,6.614095
1489.117457596607,25787.205,6.613323
1489.137891154467,25847.262,6.6196594
1489.1583246126684,25866.055,6.620375
1489.1787579712254,25865.799,6.620696
1489.1991915301332,25878.104,6.6214476
1489.2196249893823,25883.535,6.620512
1489.2400583488707,25875.467,6.6221576
1489.2604919088262,25880.469,6.6224427
1489.2809253690066,25868.676,6.6199846
1489.3013587296591,25886.113,6.6190543
1489.321792290546,25879.584,6.6200376
1489.342225751774,25878.701,6.6238065
1489.3626593133595,25862.357,6.618839
1489.3830926751762,25878.457,6.620448
1489.403526137452,25886.81,6.6170216
1489.423959700085,25881.943,6.6210575
1489.4443930629495,25870.598,6.6181245
1489.4648265261567,25866.05,6.618061
1489.4852600897211,25879.389,6.6229258
1489.5056934536333,25876.904,6.620318
1489.5261269178882,25875.576,6.621246
1489.5465604825004,25875.717,6.618393
1489.5669938474603,25875.324,6.6213093
1489.5874274126472,25884.748,6.622053
1489.6078608783064,25881.035,6.6206107
1489.628294344191,25882.742,6.6199074
1489.6487278104323,25887.88,6.621869
1489.6691612770228,25877.486,6.622853
1489.6895947439625,25887.69,6.6215467
1489.7100282112442,25871.64,6.6198306
1489.730461678766,25879.912,6.6224685
1489.7508951467462,25886.473,6.619273
1489.7713286149665,25869.244,6.6153774
1489.8121955525712,25886.652,6.621544
1489.832629021832,25875.082,6.618428
1489.8530624914492,25879.611,6.619669
1489.8734960612928,25879.031,6.618774
1489.8939294316078,25875.934,6.619011
1489.9143629022728,25877.662,6.618215
1489.9347964731642,25876.56,6.6207504
1489.9552298444105,25870.023,6.6194797
1489.9756634160076,25887.104,6.620318
1489.9960968880623,25882.693,6.620798
1490.01653026024,25860.744,6.6199
1490.0369638328848,25880.06,6.621282
1490.0573973058708,25870.96,6.620674
1490.0778306790962,25878.584,6.6204658
1490.0982642527888,25881.625,6.62075
1490.1186977267062,25874.867,6.6200013
1490.1391313009808,25855.314,6.620292
1490.1595646757196,25864.34,6.6188784
1490.1799981505683,25881.426,6.6209583
1490.2004317258907,25877.846,6.620667
1490.2208651015608,25875.896,6.620402
1490.2412985775736,25862.062,6.618673
1490.2617321538273,25869.736,6.619775
1490.2821656304295,25871.865,6.6211224
1490.3025990074893,25868.543,6.6203055
1490.32303248479,25877.02,6.620642
1490.3434660624334,25869.158,6.621171
1490.3638995404326,25874.752,6.6202583
1490.3843330186646,25868.477,6.618952
1490.4047663973615,25872.201,6.6209316
1490.4251999762855,25878.16,6.6212244
