time,flux,flux_err
1559.2264522578844,,
1559.2468862791065,67872.51,7.970166
1559.267320400475,67913.195,7.989142
1559.2877546219825,67950.18,7.987197
1559.3081886436412,67984.59,7.983294
1559.328622765417,68035.586,7.9863133
1559.349056987361,68055.42,8.000474
1559.3694910094564,68084.89,8.007956
1559.3899252316987,68088.945,8.0007925
1559.4103593540785,68100.36,8.001318
1559.4307934766111,68116.445,8.009227
1559.4512275992893,68110.414,8.007497
1559.4716617221056,68113.33,8.011773
1559.4920958450748,68070.49,8.01666
1559.5125299681895,68043.87,7.9992414
1559.5329640914424,68002.35,8.00639
1559.5533982148481,67973.64,8.007895
1559.5738323383994,67916.72,8.015946
1559.5942664620889,67880.31,8.015402
1559.6147005859311,67824.65,8.004237
1559.635134709919,67791.39,8.011057
1559.655568834045,67759.46,8.004906
1559.6760030583246,67725.836,8.001576
1559.6964370827482,67691.34,8.012693
1559.7168712073108,67681.79,8.005606
1559.737305432027,67673.24,8.012401
1559.757739456887,67638.62,8.009759
1559.778173681887,67631.66,8.012906
1559.798607807039,67622.5,7.9985585
1559.8190418323356,67621.805,8.006414
1559.8394760577721,67507.375,7.9939647
1559.8599101833606,67406.15,7.9911413
1559.880344209094,67404.7,8.000888
1559.900778434967,67475.87,7.999153
1559.9212125609629,67615.836,8.005789
1559.941646787127,67677.97,8.018501
1559.9620808134423,67674.54,8.01572
1559.9825149398748,67700.336,8.017252
1560.0029491664754,67706.5,8.010277
1560.0233831931982,67741.63,8.017545
1560.0438173200964,67752.69,8.018054
1560.0642515471045,67756.78,8.022766
1560.084685574293,67767.68,8.017955
1560.1051198015994,67782.695,8.025864
1560.1255539290723,67786.05,8.022323
1560.1459879566683,67840.66,8.012649
1560.1664221844112,67886.57,8.023437
1560.1868563122916,67913.234,8.02532
1560.207290340324,67945.11,8.021957
1560.2277245685036,67943.07,8.026144
1560.2481586968206,67917.95,8.0235615
1560.2685927252896,67891.42,8.031865
1560.2890269539057,67814.28,8.026455
1560.3094610826302,67827.23,8.023647
1560.3298952115365,67834.04,8.028471
1560.3503293405593,67831.016,8.018547
1560.3707634697494,67829.69,8.022285
1560.391197699064,67836.27,8.028934
1560.4116317285225,67802.05,8.021908
1560.43206585812,67712.945,8.0257435
1560.4525000878712,67626.234,8.030837
1560.4729341177663,67604.51,8.020138
1560.4933683478012,67592.875,8.02325
1560.513802477988,67607.11,8.024345
1560.5342365082906,67686.805,8.022203
1560.554670738762,67778.2,8.022575
1560.5751048693564,67842.484,8.022042
1560.5955389001247,67822.99,8.016935
1560.6159731310036,67380.06,8.005342
1560.6364072620345,64804.56,7.89549
1560.656841393211,62625.992,7.797074
